Point,IDT_ms,X_Fuel,X_N2,P,T,Formula_C,n-C9,n-C14,n-C15,n-C18,mono-c-C12,mono-c-C15,poly-c-C14,poly-c-C15,aro-C11,aro-C13,Set,IDT_ms_pred
126,0.948,2.5,77.03,10.34,1063.3,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.9229250000000002
127,0.446,2.5,77.03,10.77,1132.2,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.5027
128,0.276,2.5,77.03,9.73,1186.5,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.3444249999999998
131,0.052,2.5,77.03,10.61,1437.0,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training,0.06930000000000006
134,1.027,0.64,78.5,10.24,1111.0,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.9186124999999997
137,0.25,0.64,78.5,10.01,1260.3,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.23337500000000025
138,0.166,0.64,78.5,10.26,1315.4,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.1629000000000003
140,0.098,0.64,78.5,10.09,1405.7,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.1035500000000002
141,0.069,0.64,78.5,9.59,1470.2,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.07397500000000021
144,0.835,1.27,78.0,9.84,1091.0,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.8378000000000004
145,0.464,1.27,78.0,10.12,1155.7,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.466475
147,0.222,1.27,78.0,10.02,1251.1,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.20940000000000017
148,0.16,1.27,78.0,10.03,1301.8,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.16940000000000008
150,0.068,1.27,78.0,10.5,1431.9,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.0648000000000001
151,0.044,1.27,78.0,10.24,1517.0,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.07827500000000005
153,0.491,2.5,77.03,10.35,1114.9,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.605575
156,0.184,2.5,77.03,10.06,1253.3,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.1916250000000001
157,0.107,2.5,77.03,9.8,1348.3,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.12937500000000007
158,0.065,2.5,77.03,10.54,1443.5,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Training,0.05907500000000002
160,1.462,0.61,78.52,2.77,1155.0,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,1.2525000000000006
163,0.628,0.61,78.52,3.22,1237.6,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.48221374999999994
165,0.236,0.61,78.52,3.2,1339.3,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.23314750000000004
166,0.158,0.61,78.52,3.05,1411.6,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.14140000000000005
170,0.298,0.61,78.52,10.67,1234.3,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.2886412500000001
171,0.176,0.61,78.52,10.01,1300.3,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.17043750000000002
172,1.496,0.61,78.52,9.73,1087.5,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,1.2985425000000006
175,0.062,0.61,78.52,9.98,1448.9,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.11371749999999994
176,0.704,0.61,78.52,9.3,1144.2,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.7710250000000003
177,0.5,0.61,78.52,9.84,1172.0,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.5093187499999999
178,0.934,1.25,78.01,2.89,1181.0,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.8280750000000001
179,0.28,1.25,78.01,3.17,1331.5,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.26749999999999996
180,0.106,1.25,78.01,3.32,1466.8,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.10089999999999998
189,0.646,1.25,78.01,10.67,1130.2,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.7419650000000005
190,0.492,1.25,78.01,9.19,1158.2,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.5723175000000004
191,1.438,1.25,78.01,10.38,1065.6,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,1.2634425000000002
192,0.114,1.25,78.01,10.35,1319.8,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.18139999999999998
193,0.058,1.25,78.01,10.26,1416.4,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.06254999999999998
194,0.3,1.25,78.01,10.05,1202.8,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.3341150000000002
199,0.39,2.47,77.05,2.9,1281.7,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.3956250000000001
200,0.251,2.47,77.05,3.16,1328.5,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.26645
201,0.166,2.47,77.05,2.97,1394.6,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.18007500000000007
202,0.08,2.47,77.05,3.11,1474.3,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.11875000000000001
204,0.81,2.47,77.05,2.92,1187.0,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.7614499999999998
205,0.346,2.47,77.05,9.43,1171.8,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.43268500000000004
206,0.482,2.47,77.05,10.97,1115.8,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.5846899999999998
207,1.021,2.47,77.05,10.34,1063.5,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,1.0899350000000003
209,0.056,2.47,77.05,10.22,1392.9,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.07907500000000003
211,0.278,2.47,77.05,10.2,1209.5,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.32010000000000016
212,1.519,0.64,78.5,2.95,1141.1,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,1.2695749999999992
215,0.259,0.64,78.5,2.98,1320.9,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.2575000000000001
216,0.138,0.64,78.5,3.04,1409.0,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.15221249999999997
217,0.071,0.64,78.5,2.9,1475.0,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.08450000000000003
219,0.985,0.64,78.5,9.57,1128.9,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.9309999999999997
220,0.497,0.64,78.5,9.85,1192.5,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.48980999999999997
222,0.222,0.64,78.5,10.29,1276.1,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.2102400000000001
225,0.068,0.64,78.5,9.84,1439.1,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.08705000000000002
227,0.997,1.27,78.0,2.94,1189.2,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.7775375
229,0.326,1.27,78.0,2.94,1288.8,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.3286000000000001
230,0.207,1.27,78.0,3.04,1356.9,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.181275
232,0.06,1.27,78.0,3.0,1499.8,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.07597500000000004
234,0.57,1.27,78.0,9.93,1146.8,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.6810500000000002
236,0.226,1.27,78.0,9.98,1248.9,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.274225
239,0.065,1.27,78.0,10.06,1423.7,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.06906249999999997
240,1.47,2.5,77.02,2.96,1143.8,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,1.1269125000000002
242,0.49,2.5,77.02,3.04,1257.0,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.4564625
244,0.192,2.5,77.02,2.93,1365.5,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.24980000000000013
246,0.072,2.5,77.02,2.97,1494.4,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.16116250000000004
248,0.783,2.5,77.02,10.08,1103.4,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.8086750000000003
250,0.245,2.5,77.02,10.19,1224.4,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.2692874999999999
252,0.12,2.5,77.02,10.44,1323.9,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.16353750000000003
254,1.339,0.64,78.5,9.97,1098.5,13.52,2.861791684,0.719549468,1.681708868,0.013712234,0.187642919,0.138090171,0.1152694,0.11863955,0.0,0.005213248,Training,1.2311999999999994
256,0.616,0.64,78.5,9.29,1163.0,13.52,2.861791684,0.719549468,1.681708868,0.013712234,0.187642919,0.138090171,0.1152694,0.11863955,0.0,0.005213248,Training,0.6469324999999997
