Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,PHI,Set
415,0.709,1.368,20.72,77.91,6.7,1099.0,1.0,Training
416,0.371,1.368,20.72,77.91,6.1,1143.0,1.0,Training
417,0.158,1.368,20.72,77.91,7.3,1233.0,1.0,Training
418,0.118,1.368,20.72,77.91,8.3,1270.0,1.0,Training
419,0.07,1.368,20.72,77.91,8.3,1327.0,1.0,Training
420,0.041,1.368,20.72,77.91,8.2,1381.0,1.0,Training
421,5.617,1.368,20.72,77.91,12.7,744.0,1.0,Training
422,5.43,1.368,20.72,77.91,11.3,754.0,1.0,Training
423,6.762,1.368,20.72,77.91,10.7,792.0,1.0,Training
424,6.8,1.368,20.72,77.91,11.6,823.0,1.0,Training
425,4.261,1.368,20.72,77.91,10.1,866.0,1.0,Training
426,2.803,1.368,20.72,77.91,11.5,904.0,1.0,Training
427,3.104,1.368,20.72,77.91,10.4,905.0,1.0,Training
428,3.117,1.368,20.72,77.91,12.0,937.0,1.0,Training
429,1.668,1.368,20.72,77.91,12.0,978.0,1.0,Training
430,1.751,1.368,20.72,77.91,10.1,987.0,1.0,Training
431,1.169,1.368,20.72,77.91,11.6,1021.0,1.0,Training
432,1.054,1.368,20.72,77.91,12.1,1032.0,1.0,Validation
434,0.559,1.368,20.72,77.91,11.2,1077.0,1.0,Training
435,0.298,1.368,20.72,77.91,10.6,1136.0,1.0,Training
436,0.246,1.368,20.72,77.91,10.3,1154.0,1.0,Validation
438,0.11,1.368,20.72,77.91,9.0,1240.0,1.0,Training
439,0.052,1.368,20.72,77.91,9.0,1313.0,1.0,Validation
440,8.974,1.368,20.72,77.91,20.8,674.0,1.0,Validation
441,6.703,1.368,20.72,77.91,21.8,680.0,1.0,Validation
442,5.821,1.368,20.72,77.91,21.3,681.0,1.0,Training
443,3.887,1.368,20.72,77.91,23.5,700.0,1.0,Training
444,4.216,1.368,20.72,77.91,23.7,703.0,1.0,Validation
445,3.204,1.368,20.72,77.91,23.4,704.0,1.0,Validation
447,2.287,1.368,20.72,77.91,20.0,723.0,1.0,Training
