Point,X_Fuel,X_O2,X_N2,X_Ar,X_He,P,T,PHI
279,1.27,20.73,78,0,0,2.94,1288.8,1
280,1.27,20.73,78,0,0,3.04,1356.9,1
281,1.27,20.73,78,0,0,3.04,1408.3,1
282,1.27,20.73,78,0,0,3,1499.8,1
283,1.27,20.73,78,0,0,9.91,1096.4,1
284,1.27,20.73,78,0,0,9.93,1146.8,1
285,1.27,20.73,78,0,0,9.86,1192.8,1
286,1.27,20.73,78,0,0,9.98,1248.9,1
287,1.27,20.73,78,0,0,9.99,1299.2,1
288,1.27,20.73,78,0,0,10.2,1361.5,1
289,1.27,20.73,78,0,0,10.06,1423.7,1
290,2.5,20.48,77.02,0,0,2.96,1143.8,2
291,2.5,20.48,77.02,0,0,2.91,1186.2,2
292,2.5,20.48,77.02,0,0,3.04,1257,2
293,2.5,20.48,77.02,0,0,2.96,1313.4,2
294,2.5,20.48,77.02,0,0,2.93,1365.5,2
295,2.5,20.48,77.02,0,0,2.88,1414.1,2
296,2.5,20.48,77.02,0,0,2.97,1494.4,2
297,2.5,20.48,77.02,0,0,9.89,1045.8,2
298,2.5,20.48,77.02,0,0,10.08,1103.4,2
299,2.5,20.48,77.02,0,0,10.07,1173.3,2
300,2.5,20.48,77.02,0,0,10.19,1224.4,2
301,2.5,20.48,77.02,0,0,9.98,1268.7,2
302,2.5,20.48,77.02,0,0,10.44,1323.9,2
303,2.5,20.48,77.02,0,0,10.32,1419,2
304,0.64,20.86,78.5,0,0,10.01,1100.6,0.5
305,0.64,20.86,78.5,0,0,9.92,1146,0.5
306,0.64,20.86,78.5,0,0,9.84,1191.6,0.5
307,0.64,20.86,78.5,0,0,10.18,1269.8,0.5
308,0.64,20.86,78.5,0,0,10.26,1314.7,0.5
309,0.64,20.86,78.5,0,0,9.59,1373.2,0.5
310,0.64,20.86,78.5,0,0,10.49,1431.3,0.5
311,0.64,20.86,78.5,0,0,10.33,1473,0.5
312,1.27,20.73,78,0,0,9.91,1076,1
313,1.27,20.73,78,0,0,10.19,1109.3,1
314,1.27,20.73,78,0,0,9.99,1139.6,1
315,1.27,20.73,78,0,0,10.18,1208.8,1
316,1.27,20.73,78,0,0,9.52,1272.5,1
317,1.27,20.73,78,0,0,10.38,1357.2,1
318,1.27,20.73,78,0,0,10.12,1407.4,1
319,2.5,20.48,77.02,0,0,9.7,1087.3,2
320,2.5,20.48,77.02,0,0,9.57,1130.5,2
321,2.5,20.48,77.02,0,0,9.99,1199.8,2
322,2.5,20.48,77.02,0,0,10.14,1257,2
323,2.5,20.48,77.02,0,0,10.27,1335.4,2
324,2.5,20.48,77.02,0,0,9.97,1398.1,2
325,2.5,20.48,77.02,0,0,10.05,1453.3,2
326,0.64,20.87,78.5,0,0,9.97,1098.5,0.65
327,0.64,20.87,78.5,0,0,10.5,1122.4,0.65
328,0.64,20.87,78.5,0,0,9.29,1163,0.65
329,0.64,20.87,78.5,0,0,9.8,1238.8,0.65
330,0.64,20.87,78.5,0,0,10.18,1360.7,0.65
331,0.64,20.87,78.5,0,0,9.68,1477.3,0.65
332,1.27,20.73,78,0,0,9.43,1074.3,1.25
333,1.27,20.73,78,0,0,10.01,1150.4,1.25
334,1.27,20.73,78,0,0,10.27,1213.6,1.25
335,1.27,20.73,78,0,0,9.92,1295.5,1.25
336,1.27,20.73,78,0,0,10.08,1405.1,1.25
337,1.27,20.73,78,0,0,9.91,1493.3,1.25
338,2.5,20.48,77.03,0,0,10.18,1067,2.5
339,2.5,20.48,77.03,0,0,10.14,1105.7,2.5
340,2.5,20.48,77.03,0,0,10.12,1205.5,2.5
341,2.5,20.48,77.03,0,0,10.12,1306.5,2.5
342,2.5,20.48,77.03,0,0,9.85,1470.2,2.5
343,0.64,20.87,78.5,0,0,9.71,1086.7,0.6
344,0.64,20.87,78.5,0,0,9.77,1138.8,0.6
345,0.64,20.87,78.5,0,0,9.55,1176.8,0.6
346,0.64,20.87,78.5,0,0,9.7,1233.2,0.6
347,0.64,20.87,78.5,0,0,9.69,1330.9,0.6
348,0.64,20.87,78.5,0,0,9.82,1388.7,0.6
349,0.64,20.87,78.5,0,0,9.74,1432.2,0.6
350,1.27,20.73,78,0,0,10.41,1066.5,1.2
351,1.27,20.73,78,0,0,9.72,1112.2,1.2
352,1.27,20.73,78,0,0,9.74,1187,1.2
353,1.27,20.73,78,0,0,9.8,1288.6,1.2
354,1.27,20.73,78,0,0,9.82,1388.8,1.2
355,2.5,20.48,77.03,0,0,10.27,1060.5,2.4
356,2.5,20.48,77.03,0,0,10.16,1106.8,2.4
357,2.5,20.48,77.03,0,0,9.92,1195.9,2.4
358,2.5,20.48,77.03,0,0,9.93,1256.5,2.4
359,2.5,20.48,77.03,0,0,10.56,1329.9,2.4
360,2.5,20.48,77.03,0,0,9.69,1449.5,2.4
361,0.346,20.94,78.72,0,0,21.1,892,0.25
362,0.346,20.94,78.72,0,0,20.8,897,0.25
363,0.346,20.94,78.72,0,0,20.3,920,0.25
364,0.346,20.94,78.72,0,0,18.9,924,0.25
365,0.346,20.94,78.72,0,0,19.1,953,0.25
366,0.346,20.94,78.72,0,0,21.5,979,0.25
367,0.346,20.94,78.72,0,0,21.3,1016,0.25
368,0.346,20.94,78.72,0,0,18.7,1041,0.25
369,0.346,20.94,78.72,0,0,22.3,1055,0.25
370,0.346,20.94,78.72,0,0,21.1,1080,0.25
371,0.346,20.94,78.72,0,0,20.4,1092,0.25
372,0.346,20.94,78.72,0,0,21.9,1127,0.25
373,0.346,20.94,78.72,0,0,20.7,1133,0.25
374,0.346,20.94,78.72,0,0,20.9,1179,0.25
375,0.346,20.94,78.72,0,0,21.1,1230,0.25
376,0.346,20.94,78.72,0,0,20.4,1259,0.25
377,0.346,20.94,78.72,0,0,20.5,1305,0.25
378,0.689,20.86,78.45,0,0,20.6,707,0.5
379,0.689,20.86,78.45,0,0,20.8,743,0.5
380,0.689,20.86,78.45,0,0,19.6,785,0.5
381,0.689,20.86,78.45,0,0,21.4,830,0.5
382,0.689,20.86,78.45,0,0,21.6,854,0.5
383,0.689,20.86,78.45,0,0,18.3,879,0.5
384,0.689,20.86,78.45,0,0,21,930,0.5
385,0.689,20.86,78.45,0,0,20.1,950,0.5
