Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,iso-alkanes,monicyclic-alkanes,polycyclic-alkanes,Aromatics,Others,Formula_H,Set,IDT_ms_pred
195,0.464,1.27,20.73,78.0,10.12,1155.7,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.44994399999999957
196,0.323,1.27,20.73,78.0,10.14,1207.1,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.3928200000000001
197,0.222,1.27,20.73,78.0,10.02,1251.1,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.21504700000000015
200,0.068,1.27,20.73,78.0,10.5,1431.9,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.06453000000000048
201,0.044,1.27,20.73,78.0,10.24,1517.0,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.04680961399999963
203,0.491,2.5,20.48,77.03,10.35,1114.9,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.5860399999999999
204,0.399,2.5,20.48,77.03,9.98,1148.9,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.5181040000000002
206,0.184,2.5,20.48,77.03,10.06,1253.3,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.2940500000000004
207,0.107,2.5,20.48,77.03,9.8,1348.3,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.10158999999999997
208,0.065,2.5,20.48,77.03,10.54,1443.5,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.05958000000000054
209,0.05,2.5,20.48,77.03,9.91,1493.8,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.052839999999998895
211,1.278,0.61,20.87,78.52,2.84,1171.5,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,1.1373700000000004
213,0.628,0.61,20.87,78.52,3.22,1237.6,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.5680000000000002
214,0.372,0.61,20.87,78.52,3.02,1304.5,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.33850600000000014
216,0.158,0.61,20.87,78.52,3.05,1411.6,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.14479965599999994
218,0.073,0.61,20.87,78.52,3.06,1513.3,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.07471975600000007
219,0.244,0.61,20.87,78.52,11.2,1261.3,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.21819359999999993
221,0.176,0.61,20.87,78.52,10.01,1300.3,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.16637399999999986
222,1.496,0.61,20.87,78.52,9.73,1087.5,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,1.363143
224,0.09,0.61,20.87,78.52,9.89,1392.7,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.08883689999999997
225,0.062,0.61,20.87,78.52,9.98,1448.9,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.07072115600000008
226,0.704,0.61,20.87,78.52,9.3,1144.2,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.6948081999999995
227,0.5,0.61,20.87,78.52,9.84,1172.0,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.46781160999999993
228,0.934,1.25,20.74,78.01,2.89,1181.0,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,1.009949999999999
229,0.28,1.25,20.74,78.01,3.17,1331.5,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.22330200000000008
232,0.084,1.25,20.74,78.01,3.0,1499.3,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.07641999999999974
233,0.108,1.25,20.74,78.01,3.26,1455.1,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.09237999999999996
235,0.426,1.25,20.74,78.01,3.24,1282.5,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.43188000000000004
238,0.188,1.25,20.74,78.01,2.92,1383.1,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.17393000000000008
240,0.492,1.25,20.74,78.01,9.19,1158.2,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.46550999999999976
241,1.438,1.25,20.74,78.01,10.38,1065.6,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,1.3185300000000004
