Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,iso-alkanes,monicyclic-alkanes,polycyclic-alkanes,Aromatics,Others,Formula_H,Set,IDT_ms_pred
141,0.687,2.5,20.48,77.03,1.92,1180.5,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.7410000000000001
142,0.665,2.5,20.48,77.03,1.97,1223.5,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.5306000000000001
143,0.393,2.5,20.48,77.03,2.1,1271.9,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.39959999999999996
146,0.08,2.5,20.48,77.03,2.07,1526.9,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.06520000000000002
147,0.068,2.5,20.48,77.03,1.93,1576.1,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.05480000000000001
148,1.36,2.5,20.48,77.03,10.23,1038.5,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,1.3864
150,0.484,2.5,20.48,77.03,10.57,1092.2,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.551
154,0.137,2.5,20.48,77.03,9.45,1270.7,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.1522
155,0.076,2.5,20.48,77.03,9.48,1320.8,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.08700000000000001
156,0.046,2.5,20.48,77.03,10.2,1373.5,17.79624,28.991035,27.498755,8.091765,2.53599,21.035,Training,0.041600000000000005
158,0.692,0.64,20.87,78.5,10.84,1137.6,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.5966
161,0.372,0.64,20.87,78.5,9.81,1190.0,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.5478000000000005
164,0.118,0.64,20.87,78.5,9.94,1346.6,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.07640000000000001
165,0.074,0.64,20.87,78.5,10.32,1420.7,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.0664
166,0.036,0.64,20.87,78.5,10.3,1521.3,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.038599999999999995
168,0.93,1.27,20.73,78.0,9.72,1086.8,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,1.021
