Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,n-i-alkanes,cyclic-alkanes,Aromatics,Formula_H,Set,IDT_ms_pred
268,1.54,0.64,20.86,78.5,10.03,1081.3,98.89731,1.09586,0.00683,24.82,Training,1.1861535504137197
269,0.985,0.64,20.86,78.5,9.57,1128.9,98.89731,1.09586,0.00683,24.82,Training,0.8510760094144207
271,0.27,0.64,20.86,78.5,10.35,1248.8,98.89731,1.09586,0.00683,24.82,Training,0.3060327648162635
273,0.145,0.64,20.86,78.5,10.43,1324.4,98.89731,1.09586,0.00683,24.82,Training,0.2427081444039863
274,0.093,0.64,20.86,78.5,9.7,1380.2,98.89731,1.09586,0.00683,24.82,Training,0.1914057021314661
275,0.068,0.64,20.86,78.5,9.84,1439.1,98.89731,1.09586,0.00683,24.82,Training,0.1914057021314661
277,0.997,1.27,20.73,78.0,2.94,1189.2,98.89731,1.09586,0.00683,24.82,Training,0.7877829567431103
279,0.326,1.27,20.73,78.0,2.94,1288.8,98.89731,1.09586,0.00683,24.82,Training,0.4427947742953842
281,0.124,1.27,20.73,78.0,3.04,1408.3,98.89731,1.09586,0.00683,24.82,Training,0.2671128347585697
282,0.06,1.27,20.73,78.0,3.0,1499.8,98.89731,1.09586,0.00683,24.82,Training,0.2509108607814263
283,1.18,1.27,20.73,78.0,9.91,1096.4,98.89731,1.09586,0.00683,24.82,Training,0.9816594035724702
284,0.57,1.27,20.73,78.0,9.93,1146.8,98.89731,1.09586,0.00683,24.82,Training,0.6473181182879748
286,0.226,1.27,20.73,78.0,9.98,1248.9,98.89731,1.09586,0.00683,24.82,Training,0.2792189075842836
288,0.099,1.27,20.73,78.0,10.2,1361.5,98.89731,1.09586,0.00683,24.82,Training,0.16667414909475933
289,0.065,1.27,20.73,78.0,10.06,1423.7,98.89731,1.09586,0.00683,24.82,Training,0.16755575768606087
290,1.47,2.5,20.48,77.02,2.96,1143.8,98.89731,1.09586,0.00683,24.82,Training,1.3097074470206376
292,0.49,2.5,20.48,77.02,3.04,1257.0,98.89731,1.09586,0.00683,24.82,Training,0.5115128784753545
293,0.299,2.5,20.48,77.02,2.96,1313.4,98.89731,1.09586,0.00683,24.82,Training,0.5279281046560353
294,0.192,2.5,20.48,77.02,2.93,1365.5,98.89731,1.09586,0.00683,24.82,Training,0.38380784650406197
296,0.072,2.5,20.48,77.02,2.97,1494.4,98.89731,1.09586,0.00683,24.82,Training,0.3302130797347845
297,1.34,2.5,20.48,77.02,9.89,1045.8,98.89731,1.09586,0.00683,24.82,Training,1.6746171211455907
298,0.783,2.5,20.48,77.02,10.08,1103.4,98.89731,1.09586,0.00683,24.82,Training,1.443852841450286
300,0.245,2.5,20.48,77.02,10.19,1224.4,98.89731,1.09586,0.00683,24.82,Training,1.5360893166964307
302,0.12,2.5,20.48,77.02,10.44,1323.9,98.89731,1.09586,0.00683,24.82,Training,0.6500168478676028
303,0.064,2.5,20.48,77.02,10.32,1419.0,98.89731,1.09586,0.00683,24.82,Training,0.5142833470313171
305,0.734,0.64,20.86,78.5,9.92,1146.0,66.12003412,19.17117334,11.32820999,21.29,Training,0.7947830533778285
307,0.226,0.64,20.86,78.5,10.18,1269.8,66.12003412,19.17117334,11.32820999,21.29,Training,0.3874119902900245
309,0.101,0.64,20.86,78.5,9.59,1373.2,66.12003412,19.17117334,11.32820999,21.29,Training,0.29458944239527723
310,0.062,0.64,20.86,78.5,10.49,1431.3,66.12003412,19.17117334,11.32820999,21.29,Training,0.2766476468666645
312,1.296,1.27,20.73,78.0,9.91,1076.0,66.12003412,19.17117334,11.32820999,21.29,Training,1.083083962388723
315,0.302,1.27,20.73,78.0,10.18,1208.8,66.12003412,19.17117334,11.32820999,21.29,Training,0.4056038642335745
316,0.174,1.27,20.73,78.0,9.52,1272.5,66.12003412,19.17117334,11.32820999,21.29,Training,0.352142938050637
317,0.082,1.27,20.73,78.0,10.38,1357.2,66.12003412,19.17117334,11.32820999,21.29,Training,0.25003260425698576
320,9.57,2.5,20.48,77.02,9.57,1130.5,66.12003412,19.17117334,11.32820999,21.29,Training,6.8829249203770235
321,9.99,2.5,20.48,77.02,9.99,1199.8,66.12003412,19.17117334,11.32820999,21.29,Training,9.160159479188332
322,10.14,2.5,20.48,77.02,10.14,1257.0,66.12003412,19.17117334,11.32820999,21.29,Training,7.748410507601741
323,10.27,2.5,20.48,77.02,10.27,1335.4,66.12003412,19.17117334,11.32820999,21.29,Training,8.412976660764128
