Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,n-i-alkanes,cyclic-alkanes,Aromatics,Formula_H,Set,IDT_ms_pred
258,0.166,2.47,20.48,77.05,10.85,1241.1,54.16239,25.76532,15.45842,20.07,Training,0.177635
259,0.056,2.47,20.48,77.05,10.22,1392.9,54.16239,25.76532,15.45842,20.07,Training,0.059050000000000026
260,0.084,2.47,20.48,77.05,10.54,1329.8,54.16239,25.76532,15.45842,20.07,Training,0.10627000000000003
262,1.519,0.64,20.86,78.5,2.95,1141.1,98.89731,1.09586,0.00683,24.82,Training,1.4274999999999998
263,0.849,0.64,20.86,78.5,3.03,1205.1,98.89731,1.09586,0.00683,24.82,Training,0.7628000000000001
264,0.51,0.64,20.86,78.5,3.05,1259.3,98.89731,1.09586,0.00683,24.82,Training,0.4954499999999999
265,0.259,0.64,20.86,78.5,2.98,1320.9,98.89731,1.09586,0.00683,24.82,Training,0.26430000000000003
266,0.138,0.64,20.86,78.5,3.04,1409.0,98.89731,1.09586,0.00683,24.82,Training,0.1318
267,0.071,0.64,20.86,78.5,2.9,1475.0,98.89731,1.09586,0.00683,24.82,Training,0.08314999999999997
268,1.54,0.64,20.86,78.5,10.03,1081.3,98.89731,1.09586,0.00683,24.82,Training,1.5225999999999997
269,0.985,0.64,20.86,78.5,9.57,1128.9,98.89731,1.09586,0.00683,24.82,Training,0.8512209999999998
271,0.27,0.64,20.86,78.5,10.35,1248.8,98.89731,1.09586,0.00683,24.82,Training,0.24754499999999996
273,0.145,0.64,20.86,78.5,10.43,1324.4,98.89731,1.09586,0.00683,24.82,Training,0.1475400000000001
274,0.093,0.64,20.86,78.5,9.7,1380.2,98.89731,1.09586,0.00683,24.82,Training,0.0927995
275,0.068,0.64,20.86,78.5,9.84,1439.1,98.89731,1.09586,0.00683,24.82,Training,0.06445000000000001
276,1.18,1.27,20.73,78.0,3.02,1173.0,98.89731,1.09586,0.00683,24.82,Training,1.08545
278,0.655,1.27,20.73,78.0,3.02,1224.0,98.89731,1.09586,0.00683,24.82,Training,0.6641499999999999
279,0.326,1.27,20.73,78.0,2.94,1288.8,98.89731,1.09586,0.00683,24.82,Training,0.3632499999999999
281,0.124,1.27,20.73,78.0,3.04,1408.3,98.89731,1.09586,0.00683,24.82,Training,0.12715000000000007
282,0.06,1.27,20.73,78.0,3.0,1499.8,98.89731,1.09586,0.00683,24.82,Training,0.06325000000000001
283,1.18,1.27,20.73,78.0,9.91,1096.4,98.89731,1.09586,0.00683,24.82,Training,1.076571
284,0.57,1.27,20.73,78.0,9.93,1146.8,98.89731,1.09586,0.00683,24.82,Training,0.5462000000000001
285,0.38,1.27,20.73,78.0,9.86,1192.8,98.89731,1.09586,0.00683,24.82,Training,0.39503
286,0.226,1.27,20.73,78.0,9.98,1248.9,98.89731,1.09586,0.00683,24.82,Training,0.21667999999999998
287,0.17,1.27,20.73,78.0,9.99,1299.2,98.89731,1.09586,0.00683,24.82,Training,0.16144999999999998
288,0.099,1.27,20.73,78.0,10.2,1361.5,98.89731,1.09586,0.00683,24.82,Training,0.0986495
289,0.065,1.27,20.73,78.0,10.06,1423.7,98.89731,1.09586,0.00683,24.82,Training,0.0678500000000043
290,1.47,2.5,20.48,77.02,2.96,1143.8,98.89731,1.09586,0.00683,24.82,Training,1.5667499999999999
292,0.49,2.5,20.48,77.02,3.04,1257.0,98.89731,1.09586,0.00683,24.82,Training,0.53385
293,0.299,2.5,20.48,77.02,2.96,1313.4,98.89731,1.09586,0.00683,24.82,Training,0.26415000000000005
294,0.192,2.5,20.48,77.02,2.93,1365.5,98.89731,1.09586,0.00683,24.82,Training,0.21405000000000005
295,0.13,2.5,20.48,77.02,2.88,1414.1,98.89731,1.09586,0.00683,24.82,Training,0.17425000000000004
296,0.072,2.5,20.48,77.02,2.97,1494.4,98.89731,1.09586,0.00683,24.82,Training,0.10614999999999962
297,1.34,2.5,20.48,77.02,9.89,1045.8,98.89731,1.09586,0.00683,24.82,Training,1.5764500000000001
298,0.783,2.5,20.48,77.02,10.08,1103.4,98.89731,1.09586,0.00683,24.82,Training,0.7684499999999999
299,0.405,2.5,20.48,77.02,10.07,1173.3,98.89731,1.09586,0.00683,24.82,Training,0.49115
300,0.245,2.5,20.48,77.02,10.19,1224.4,98.89731,1.09586,0.00683,24.82,Training,0.27014999999999995
302,0.12,2.5,20.48,77.02,10.44,1323.9,98.89731,1.09586,0.00683,24.82,Training,0.19604999999999984
303,0.064,2.5,20.48,77.02,10.32,1419.0,98.89731,1.09586,0.00683,24.82,Training,0.09299999999999976
304,1.5,0.64,20.86,78.5,10.01,1100.6,66.12003412,19.17117334,11.32820999,21.29,Training,1.1586800000000002
305,0.734,0.64,20.86,78.5,9.92,1146.0,66.12003412,19.17117334,11.32820999,21.29,Training,0.6770500000000008
306,0.436,0.64,20.86,78.5,9.84,1191.6,66.12003412,19.17117334,11.32820999,21.29,Training,0.41588
307,0.226,0.64,20.86,78.5,10.18,1269.8,66.12003412,19.17117334,11.32820999,21.29,Training,0.20490000000000005
308,0.152,0.64,20.86,78.5,10.26,1314.7,66.12003412,19.17117334,11.32820999,21.29,Training,0.14955000000000004
309,0.101,0.64,20.86,78.5,9.59,1373.2,66.12003412,19.17117334,11.32820999,21.29,Training,0.0806
310,0.062,0.64,20.86,78.5,10.49,1431.3,66.12003412,19.17117334,11.32820999,21.29,Training,0.061700000000000026
311,0.048,0.64,20.86,78.5,10.33,1473.0,66.12003412,19.17117334,11.32820999,21.29,Training,0.048400000000000026
312,1.296,1.27,20.73,78.0,9.91,1076.0,66.12003412,19.17117334,11.32820999,21.29,Training,1.1612850000000001
315,0.302,1.27,20.73,78.0,10.18,1208.8,66.12003412,19.17117334,11.32820999,21.29,Training,0.264485
316,0.174,1.27,20.73,78.0,9.52,1272.5,66.12003412,19.17117334,11.32820999,21.29,Training,0.1754
317,0.082,1.27,20.73,78.0,10.38,1357.2,66.12003412,19.17117334,11.32820999,21.29,Training,0.07370000000000002
318,0.057,1.27,20.73,78.0,10.12,1407.4,66.12003412,19.17117334,11.32820999,21.29,Training,0.059650000000000016
319,9.7,2.5,20.48,77.02,9.7,1087.3,66.12003412,19.17117334,11.32820999,21.29,Training,8.78585
