Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,Formula_H,Set,IDT_ms_pred
410,1.811,1.368,20.72,77.91,8.1,1018.0,19.91,Training,1.6046333333333331
414,0.538,1.368,20.72,77.91,7.8,1097.0,19.91,Training,0.8246499999999991
416,0.371,1.368,20.72,77.91,6.1,1143.0,19.91,Training,0.6070083333333333
417,0.158,1.368,20.72,77.91,7.3,1233.0,19.91,Training,0.32698333333333346
418,0.118,1.368,20.72,77.91,8.3,1270.0,19.91,Training,0.15456666666666669
419,0.07,1.368,20.72,77.91,8.3,1327.0,19.91,Training,0.10550000000000001
420,0.041,1.368,20.72,77.91,8.2,1381.0,19.91,Training,0.07226666666666658
421,5.617,1.368,20.72,77.91,12.7,744.0,19.91,Training,5.510738333333334
423,6.762,1.368,20.72,77.91,10.7,792.0,19.91,Training,5.869953333333333
425,4.261,1.368,20.72,77.91,10.1,866.0,19.91,Training,4.588609999999999
426,2.803,1.368,20.72,77.91,11.5,904.0,19.91,Training,3.8365633333333324
429,1.668,1.368,20.72,77.91,12.0,978.0,19.91,Training,1.7130666666666674
430,1.751,1.368,20.72,77.91,10.1,987.0,19.91,Training,1.7938916666666667
431,1.169,1.368,20.72,77.91,11.6,1021.0,19.91,Training,1.3812333333333329
434,0.559,1.368,20.72,77.91,11.2,1077.0,19.91,Training,0.733933333333333
435,0.298,1.368,20.72,77.91,10.6,1136.0,19.91,Training,0.3259449999999999
442,5.821,1.368,20.72,77.91,21.3,681.0,19.91,Training,4.458225
445,3.204,1.368,20.72,77.91,23.4,704.0,19.91,Training,2.7286833333333314
449,1.842,1.368,20.72,77.91,20.9,750.0,19.91,Training,1.8179583333333322
453,1.618,1.368,20.72,77.91,23.0,797.0,19.91,Training,1.6530166666666661
454,1.618,1.368,20.72,77.91,24.8,797.0,19.91,Training,1.6755666666666655
455,1.616,1.368,20.72,77.91,21.5,802.0,19.91,Training,1.785783333333333
461,2.038,1.368,20.72,77.91,20.5,836.0,19.91,Training,1.889683333333332
465,1.908,1.368,20.72,77.91,21.8,851.0,19.91,Training,1.829933333333334
468,2.031,1.368,20.72,77.91,21.5,904.0,19.91,Training,1.9391333333333343
472,1.236,1.368,20.72,77.91,21.7,973.0,19.91,Training,1.157924999999999
474,1.05,1.368,20.72,77.91,18.9,991.0,19.91,Training,1.0491333333333328
477,0.563,1.368,20.72,77.91,21.6,1046.0,19.91,Training,0.5240999999999998
479,0.464,1.368,20.72,77.91,19.3,1072.0,19.91,Training,0.4344166666666665
484,0.249,1.368,20.72,77.91,18.1,1109.0,19.91,Training,0.2537666666666668
486,0.185,1.368,20.72,77.91,19.2,1126.0,19.91,Training,0.18844166666666667
488,0.176,1.368,20.72,77.91,18.1,1143.0,19.91,Training,0.1683416666666667
492,0.095,1.368,20.72,77.91,16.5,1197.0,19.91,Training,0.1142333333333333
493,0.077,1.368,20.72,77.91,16.8,1222.0,19.91,Training,0.08399999999999996
494,1.885,1.368,20.72,77.91,36.6,741.0,19.91,Training,1.8638250000000012
495,1.707,1.368,20.72,77.91,40.3,763.0,19.91,Training,1.7204666666666653
496,1.644,1.368,20.72,77.91,38.5,812.0,19.91,Training,1.6226500000000004
499,1.423,1.368,20.72,77.91,36.9,852.0,19.91,Training,1.5056500000000008
502,1.55,1.368,20.72,77.91,39.3,888.0,19.91,Training,1.5953166666666663
503,1.64,1.368,20.72,77.91,38.1,896.0,19.91,Training,1.6139333333333332
504,1.689,1.368,20.72,77.91,34.5,904.0,19.91,Training,1.623891666666667
506,1.192,1.368,20.72,77.91,36.5,945.0,19.91,Training,1.248083333333333
507,0.819,1.368,20.72,77.91,41.1,964.0,19.91,Training,0.8714416666666671
510,0.689,1.368,20.72,77.91,40.3,1008.0,19.91,Training,0.6283333333333335
511,0.462,1.368,20.72,77.91,38.8,1021.0,19.91,Training,0.4493999999999997
514,0.298,1.368,20.72,77.91,38.5,1054.0,19.91,Training,0.38734999999999975
516,0.107,1.368,20.72,77.91,39.6,1132.0,19.91,Training,0.12534166666666688
517,0.092,1.368,20.72,77.91,40.3,1161.0,19.91,Training,0.10527499999999998
520,0.04,1.368,20.72,77.91,40.9,1224.0,19.91,Training,0.06168333333333337
524,5.285,2.038,20.58,77.38,20.1,672.0,19.91,Training,4.6850999999999985
526,2.811,2.038,20.58,77.38,18.8,701.0,19.91,Training,2.7882133333333337
527,2.528,2.038,20.58,77.38,23.0,706.0,19.91,Training,2.5900166666666657
529,1.72,2.038,20.58,77.38,19.7,717.0,19.91,Training,2.2403999999999997
532,1.832,2.038,20.58,77.38,19.6,759.0,19.91,Training,1.8643749999999981
534,1.678,2.038,20.58,77.38,21.0,810.0,19.91,Training,1.7221499999999985
537,1.761,2.038,20.58,77.38,19.1,837.0,19.91,Training,1.9709466666666653
539,1.655,2.038,20.58,77.38,22.2,880.0,19.91,Training,1.7218333333333335
542,1.612,2.038,20.58,77.38,20.5,910.0,19.91,Training,1.6750249999999993
544,0.816,2.038,20.58,77.38,23.2,989.0,19.91,Training,0.8469916666666666
545,0.756,2.038,20.58,77.38,18.9,1004.0,19.91,Training,0.8599000000000001
548,0.524,2.038,20.58,77.38,20.9,1020.0,19.91,Training,0.5446500000000002
550,0.371,2.038,20.58,77.38,22.4,1049.0,19.91,Training,0.4396166666666662
552,0.291,2.038,20.58,77.38,22.3,1088.0,19.91,Training,0.2895
554,0.14,2.038,20.58,77.38,23.4,1121.0,19.91,Training,0.1840833333333332
558,0.114,2.038,20.58,77.38,19.9,1160.0,19.91,Training,0.1410333333333333
561,1.621,1.171,20.76,78.07,22.5,700.0,24.9,Training,1.9076666666666666
562,1.334,1.171,20.76,78.07,20.6,717.0,24.9,Training,1.7044750000000013
564,1.453,1.171,20.76,78.07,19.6,759.0,24.9,Training,1.6622583333333345
566,1.295,1.171,20.76,78.07,20.0,832.0,24.9,Training,1.5483000000000011
568,1.547,1.171,20.76,78.07,18.7,870.0,24.9,Training,1.8064983333333327
569,1.362,1.171,20.76,78.07,18.7,926.0,24.9,Training,1.550208333333332
570,1.142,1.171,20.76,78.07,20.9,942.0,24.9,Training,1.2223583333333334
572,0.593,1.171,20.76,78.07,19.6,1016.0,24.9,Training,0.6687333333333337
573,0.423,1.171,20.76,78.07,24.0,1044.0,24.9,Training,0.4674499999999996
575,0.343,1.171,20.76,78.07,20.0,1066.0,24.9,Training,0.4594566666666665
577,0.221,1.171,20.76,78.07,20.3,1119.0,24.9,Training,0.2535733333333334
580,0.083,1.171,20.76,78.07,20.0,1180.0,24.9,Training,0.14979333333333364
581,0.039,1.171,20.76,78.07,20.8,1260.0,24.9,Training,0.09664500000000009
583,1.557,1.286,20.74,77.97,19.8,689.0,22.88,Training,2.2561583333333335
585,1.094,1.286,20.74,77.97,20.6,733.0,22.88,Training,1.3562333333333332
586,1.19,1.286,20.74,77.97,18.0,808.0,22.88,Training,2.415469999999999
587,0.99,1.286,20.74,77.97,21.4,811.0,22.88,Training,1.2333083333333335
588,1.078,1.286,20.74,77.97,21.0,880.0,22.88,Training,1.1523666666666674
590,1.001,1.286,20.74,77.97,22.5,942.0,22.88,Training,1.110808333333333
593,0.278,1.286,20.74,77.97,22.3,1097.0,22.88,Training,0.26898333333333335
594,0.223,1.286,20.74,77.97,19.2,1112.0,22.88,Training,0.23099999999999984
595,0.074,1.286,20.74,77.97,19.0,1212.0,22.88,Training,0.08023131666666664
596,0.029,1.286,20.74,77.97,19.9,1290.0,22.88,Training,0.04987833333333333
598,5.995,1.258,20.74,78.0,20.4,687.0,23.57,Training,4.135116666666667
599,3.06,1.258,20.74,78.0,20.4,734.0,23.57,Training,3.1954833333333346
600,3.332,1.258,20.74,78.0,20.6,805.0,23.57,Training,2.9722749999999984
601,2.686,1.258,20.74,78.0,20.0,869.0,23.57,Training,2.681791666666668
603,1.162,1.258,20.74,78.0,20.2,977.0,23.57,Training,1.2407899999999996
