Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,Formula_H,Set,IDT_ms_pred
264,0.51,0.64,20.86,78.5,3.05,1259.3,24.82,Training,0.31098062388487785
265,0.259,0.64,20.86,78.5,2.98,1320.9,24.82,Training,0.18289898997578638
266,0.138,0.64,20.86,78.5,3.04,1409.0,24.82,Training,0.14478146189487706
267,0.071,0.64,20.86,78.5,2.9,1475.0,24.82,Training,0.14478146189487706
268,1.54,0.64,20.86,78.5,10.03,1081.3,24.82,Training,1.0596747406872424
269,0.985,0.64,20.86,78.5,9.57,1128.9,24.82,Training,0.553024838832275
271,0.27,0.64,20.86,78.5,10.35,1248.8,24.82,Training,0.20341848752124092
273,0.145,0.64,20.86,78.5,10.43,1324.4,24.82,Training,0.14513418997578573
274,0.093,0.64,20.86,78.5,9.7,1380.2,24.82,Training,0.10701666189487646
275,0.068,0.64,20.86,78.5,9.84,1439.1,24.82,Training,0.10701666189487646
276,1.18,1.27,20.73,78.0,3.02,1173.0,24.82,Training,0.9813514957264957
278,0.655,1.27,20.73,78.0,3.02,1224.0,24.82,Training,0.4621539078773449
279,0.326,1.27,20.73,78.0,2.94,1288.8,24.82,Training,0.2757759179757864
281,0.124,1.27,20.73,78.0,3.04,1408.3,24.82,Training,0.14478146189487706
282,0.06,1.27,20.73,78.0,3.0,1499.8,24.82,Training,0.14478146189487706
283,1.18,1.27,20.73,78.0,9.91,1096.4,24.82,Training,0.553024838832275
284,0.57,1.27,20.73,78.0,9.93,1146.8,24.82,Training,0.553024838832275
285,0.38,1.27,20.73,78.0,9.86,1192.8,24.82,Training,0.3694081987222335
286,0.226,1.27,20.73,78.0,9.98,1248.9,24.82,Training,0.20341848752124092
287,0.17,1.27,20.73,78.0,9.99,1299.2,24.82,Training,0.16821378161214945
288,0.099,1.27,20.73,78.0,10.2,1361.5,24.82,Training,0.10701666189487646
289,0.065,1.27,20.73,78.0,10.06,1423.7,24.82,Training,0.10701666189487646
290,1.47,2.5,20.48,77.02,2.96,1143.8,24.82,Training,0.8285387301587301
292,0.49,2.5,20.48,77.02,3.04,1257.0,24.82,Training,0.42577556392496396
293,0.299,2.5,20.48,77.02,2.96,1313.4,24.82,Training,0.323817916839402
294,0.192,2.5,20.48,77.02,2.93,1365.5,24.82,Training,3.2459636311251154
295,0.13,2.5,20.48,77.02,2.88,1414.1,24.82,Training,3.2459636311251154
296,0.072,2.5,20.48,77.02,2.97,1494.4,24.82,Training,3.211983238968253
297,1.34,2.5,20.48,77.02,9.89,1045.8,24.82,Training,1.388470821275687
298,0.783,2.5,20.48,77.02,10.08,1103.4,24.82,Training,0.5693316457034058
299,0.405,2.5,20.48,77.02,10.07,1173.3,24.82,Training,0.38918883565555895
300,0.245,2.5,20.48,77.02,10.19,1224.4,24.82,Training,1.6534671164502168
302,0.12,2.5,20.48,77.02,10.44,1323.9,24.82,Training,1.6213068057282911
303,0.064,2.5,20.48,77.02,10.32,1419.0,24.82,Training,4.543452520014005
304,1.5,0.64,20.86,78.5,10.01,1100.6,21.29,Training,0.553024838832275
305,0.734,0.64,20.86,78.5,9.92,1146.0,21.29,Training,0.553024838832275
306,0.436,0.64,20.86,78.5,9.84,1191.6,21.29,Training,0.3694081987222335
307,0.226,0.64,20.86,78.5,10.18,1269.8,21.29,Training,0.20341848752124092
309,0.101,0.64,20.86,78.5,9.59,1373.2,21.29,Training,0.10701666189487646
311,0.048,0.64,20.86,78.5,10.33,1473.0,21.29,Training,0.10701666189487646
317,0.082,1.27,20.73,78.0,10.38,1357.2,21.29,Training,0.10701666189487646
318,0.057,1.27,20.73,78.0,10.12,1407.4,21.29,Training,0.10701666189487646
319,9.7,2.5,20.48,77.02,9.7,1087.3,21.29,Training,4.130546172019194
323,10.27,2.5,20.48,77.02,10.27,1335.4,21.29,Training,4.543452520014005
327,0.959,0.64,20.87,78.5,10.5,1122.4,28.93,Training,0.553024838832275
328,0.616,0.64,20.87,78.5,9.29,1163.0,28.93,Training,0.4026188068164649
329,0.304,0.64,20.87,78.5,9.8,1238.8,28.93,Training,0.20341848752124092
330,0.104,0.64,20.87,78.5,10.18,1360.7,28.93,Training,0.10701666189487646
331,0.064,0.64,20.87,78.5,9.68,1477.3,28.93,Training,0.10701666189487646
332,1.288,1.27,20.73,78.0,9.43,1074.3,28.93,Training,1.0596747406872424
333,0.548,1.27,20.73,78.0,10.01,1150.4,28.93,Training,0.553024838832275
334,0.344,1.27,20.73,78.0,10.27,1213.6,28.93,Training,0.2469140534460751
335,0.174,1.27,20.73,78.0,9.92,1295.5,28.93,Training,0.16821378161214945
336,0.089,1.27,20.73,78.0,10.08,1405.1,28.93,Training,0.10701666189487646
337,0.053,1.27,20.73,78.0,9.91,1493.3,28.93,Training,0.10701666189487646
338,1.215,2.5,20.48,77.03,10.18,1067.0,28.93,Training,1.388470821275687
340,0.266,2.5,20.48,77.03,10.12,1205.5,28.93,Training,0.31219190554041465
341,0.119,2.5,20.48,77.03,10.12,1306.5,28.93,Training,0.14513418997578573
342,0.04,2.5,20.48,77.03,9.85,1470.2,28.93,Training,0.10701666189487646
343,1.592,0.64,20.87,78.5,9.71,1086.7,26.77,Training,0.928399666892693
345,0.504,0.64,20.87,78.5,9.55,1176.8,26.77,Training,0.3694081987222335
346,0.298,0.64,20.87,78.5,9.7,1233.2,26.77,Training,0.20341848752124092
347,0.104,0.64,20.87,78.5,9.69,1330.9,26.77,Training,0.14513418997578573
348,0.072,0.64,20.87,78.5,9.82,1388.7,26.77,Training,0.10701666189487646
349,0.053,0.64,20.87,78.5,9.74,1432.2,26.77,Training,0.10701666189487646
352,0.37,1.27,20.73,78.0,9.74,1187.0,26.77,Training,0.3694081987222335
353,0.134,1.27,20.73,78.0,9.8,1288.6,26.77,Training,0.16821378161214945
354,0.055,1.27,20.73,78.0,9.82,1388.8,26.77,Training,0.10701666189487646
355,1.802,2.5,20.48,77.03,10.27,1060.5,26.77,Training,1.388470821275687
356,0.902,2.5,20.48,77.03,10.16,1106.8,26.77,Training,0.5827616168643116
357,0.354,2.5,20.48,77.03,9.92,1195.9,26.77,Training,0.3694081987222335
359,0.124,2.5,20.48,77.03,10.56,1329.9,26.77,Training,0.14513418997578573
360,0.054,2.5,20.48,77.03,9.69,1449.5,26.77,Training,0.10701666189487646
361,7.565,0.346,20.94,78.72,21.1,892.0,19.91,Training,5.336383333333336
